path	duration	peak	rms
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_heavy_004.mp3	0.470	0.8257	0.0546
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_light_000.mp3	0.287	0.7625	0.0686
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_light_001.mp3	0.287	0.8310	0.0688
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_light_002.mp3	0.287	0.7702	0.0808
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_light_003.mp3	0.287	0.8110	0.0701
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_light_004.mp3	0.287	0.8563	0.0760
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_medium_000.mp3	0.627	0.8442	0.0473
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_medium_001.mp3	0.627	0.8743	0.0482
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_medium_002.mp3	0.627	0.8320	0.0462
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_medium_003.mp3	0.627	0.8072	0.0462
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactGlass_medium_004.mp3	0.627	0.8136	0.0524
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_heavy_000.mp3	0.261	0.8382	0.0719
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_heavy_001.mp3	0.444	0.8463	0.0566
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_heavy_002.mp3	0.183	0.8215	0.0881
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_heavy_003.mp3	0.287	0.8537	0.0698
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_heavy_004.mp3	0.209	0.8241	0.0809
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_light_000.mp3	0.444	0.8290	0.0764
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_light_001.mp3	0.313	0.8067	0.0841
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_light_002.mp3	0.313	0.8194	0.0759
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_light_003.mp3	0.549	0.7727	0.0809
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_light_004.mp3	0.287	0.8557	0.0759
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_medium_000.mp3	0.340	0.7943	0.0704
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_medium_001.mp3	0.235	0.8172	0.0758
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_medium_002.mp3	0.209	0.8045	0.0619
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_medium_003.mp3	0.313	0.7686	0.0690
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMetal_medium_004.mp3	0.183	0.7803	0.0674
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMining_000.mp3	1.019	0.8179	0.0854
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMining_001.mp3	0.967	0.8502	0.0801
Assets/_Project/AudioEffects/packs/kenney_impact-sounds/impactMining_002.mp3	0.862	0.8187	0.0661
